#WL (Micrometers)	Transmission (%)
1.9605	0.257023
1.96	0.156893
1.9595	0.03808
1.959	0.143014
1.9585	0.199355
1.958	0.143177
1.9575	0.134197
1.957	0.109969
1.9565	0.146493
1.956	0.202358
1.9555	0.234459
1.955	0.139937
1.9545	0.145713
1.954	0.179353
1.9535	0.147524
1.953	0.15964
1.9525	0.148977
1.952	0.204949
1.9515	0.209341
1.951	0.194567
1.9505	0.142981
1.95	0.104838
1.9495	0.144182
1.949	0.197376
1.9485	0.183832
1.948	0.101736
1.9475	0.042504
1.947	0.06532
1.9465	0.130701
1.946	0.097335
1.9455	0.027389
1.945	0.042641
1.9445	0.158418
1.944	0.144342
1.9435	0.092769
1.943	0.137049
1.9425	0.146152
1.942	0.140107
1.9415	0.089912
1.941	0.050254
1.9405	0.145775
1.94	0.113904
1.9395	0.056278
1.939	-0.028928
1.9385	-0.070179
1.938	-0.027505
1.9375	-0.012223
1.937	0.109582
1.9365	0.178177
1.936	0.06418
1.9355	0.050427
1.935	0.06098
1.9345	-0.06091
1.934	0.003043
1.9335	0.082121
1.933	0.091498
1.9325	0.08549
1.932	0.141786
1.9315	0.106641
1.931	0.115598
1.9305	0.165538
1.93	0.063887
1.9295	0.063925
1.929	0.104682
1.9285	0.12149
1.928	0.056418
1.9275	-0.018253
1.927	0.031938
1.9265	0.045805
1.926	0.027447
1.9255	0.106808
1.925	0.039778
1.9245	-0.062782
1.924	0.009177
1.9235	0.079219
1.923	0.11723
1.9225	0.137789
1.922	0.136453
1.9215	0.112592
1.921	0.170177
1.9205	0.16693
1.92	0.118497
1.9195	0.023958
1.919	0.042463
1.9185	0.127799
1.918	-0.050064
1.9175	-0.032131
1.917	0.070498
1.9165	0.082536
1.916	0.047067
1.9155	0.041048
1.915	0.096009
1.9145	0.053546
1.914	0.121223
1.9135	0.097659
1.913	-0.034741
1.9125	0.006083
1.912	0.07801
1.9115	0.025945
1.911	0.065663
1.9105	0.144112
1.91	0.03629
1.9095	0.003029
1.909	0.037925
1.9085	0.042543
1.908	0.063751
1.9075	0.048608
1.907	0.060811
1.9065	0.074322
1.906	-0.007578
1.9055	0.010624
1.905	0.089592
1.9045	0.1641
1.904	0.158771
1.9035	0.057694
1.903	0.041023
1.9025	0.030446
1.902	0.074116
1.9015	0.116326
1.901	0.087961
1.9005	0.071305
1.9	-0.015134
1.8995	-0.049951
1.899	0.096131
1.8985	0.051438
1.898	0
1.8975	0.05324
1.897	0.032204
1.8965	0.022889
1.896	0.033392
1.8955	0.068592
1.895	-0.016784
1.8945	-0.0457
1.894	0.042628
1.8935	0.081047
1.893	0.099335
1.8925	0.088304
1.892	0.034977
1.8915	-0.018248
1.891	0.106168
1.8905	0.116233
1.89	-0.104468
1.8895	-0.066514
1.889	0.075256
1.8885	0.101271
1.888	0.057649
1.8875	-0.01217
1.887	0.079186
1.8865	0.100185
1.886	0.021193
1.8855	0.034931
1.885	0.050218
1.8845	0.07954
1.884	0.024429
1.8835	0.022752
1.883	-0.006059
1.8825	0.041103
1.882	0.229263
1.8815	0.117283
1.881	-0.050341
1.8805	-0.051882
1.88	0.019795
1.8795	0.060818
1.879	0.092903
1.8785	0.089817
1.878	0.07443
1.8775	0.072853
1.877	0.009094
1.8765	0.048516
1.876	0.099618
1.8755	-0.004609
1.875	-0.038083
