#MaunaKea 2.5mm N  13800ft		
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wavelength	b(sqrt crv gr)	c (lin crv gr)
7.798	0.40359777	0.35110782
7.8	0.024889	0.27470308
7.802	0.68882949	0.14966805
7.804	0.50930751	0.30438604
7.806	0.05845081	0.32623131
7.808	0.39645286	0.31628165
7.81	0.13679964	0.38271924
7.812	1.11238128	0.39196417
7.814	0.6839896	0.27891176
7.816	0.02199539	0.2390417
7.818	0.33959632	0.16097104
7.82	0.2397894	0.17615558
7.822	0.02546361	0.19397588
7.824	0.56504853	0.16047157
7.826	0.10507658	0.28164491
7.828	0.8960922	0.36180925
7.83	0.54650029	0.41364712
7.832	0.70244058	0.26231301
7.834	0.41725378	0.30215163
7.836	0.25288177	0.17890099
7.838	0.03297554	0.28921128
7.84	1.11929155	0.10093414
7.842	0.69262249	0.36018638
7.844	0.50481031	0.31554067
7.846	0.53380748	0.19051702
7.848	0.00950676	0.22989421
7.85	0.37791143	0.25055255
7.852	0.31516918	0.47102872
7.854	0.01050848	0.38933035
7.856	0.60870738	0.34634068
7.858	0.20112238	0.60348431
7.86	0.46704844	0.88965105
7.862	2.8815756	0.48268128
7.864	3.15359515	1.49913322
7.866	0.92472408	0.97701222
7.868	0.74933558	0.92658809
7.87	0.50434177	0.54244408
7.872	0.59632978	0.55885075
7.874	2.95902456	0.5915968
7.876	0.50972454	0.69177673
7.878	0.4664557	0.6317501
7.88	0.65529477	0.60403037
7.882	0.40211557	0.67926228
7.884	2.06488212	0.64919431
7.886	0.49174259	0.94821186
7.888	0.71669768	0.80906846
7.89	0.59173633	0.29011305
7.892	0.0082447	0.22338882
7.894	0.53104935	0.20439976
7.896	0.61308218	0.25070056
7.898	0.5496992	0.34667205
7.9	0.59617494	0.50126395
7.902	0.94881726	0.75417522
7.904	0.52510019	0.24166947
7.906	0.32422601	0.28337853
7.908	0.19147202	0.14678541
7.91	0.10111148	0.19165315
7.912	0.49776222	0.45637768
7.914	0.25994525	0.22884876
7.916	0.59423555	0.22426319
7.918	0.4005956	0.26018112
7.92	0.05528407	0.1713413
7.922	0.46719	0.19325097
7.924	0.52423915	0.37176723
7.926	0.38094069	0.26638901
7.928	0.07715782	0.29255168
7.93	0.60684033	0.49027073
7.932	0.8902675	1.07757827
7.934	3.65379755	0.6437884
7.936	1.54822169	1.23986161
7.938	0.70657791	0.95153578
7.94	0.48579827	0.38468108
7.942	0.25168549	0.31721749
7.944	0.13271615	0.29689572
7.946	0.2557275	0.35565426
7.948	0.21797774	0.19648229
7.95	-9.74E-05	0.09625906
7.952	0.08180831	0.11834889
7.954	0.19027781	0.18872095
7.956	0.01963528	0.12989044
7.958	0.44680196	0.1915008
7.96	0.16412694	0.17534803
7.962	0.00047957	0.08612622
7.964	0.05276377	0.09451871
7.966	0.12613729	0.1756925
7.968	0.39806985	0.1408764
7.97	0.06634984	0.25218132
7.972	0.10476239	0.19651486
7.974	0.12872332	0.13687698
7.976	0.74773006	0.38686978
7.978	0.43646409	0.44871097
7.98	0.15278872	0.0860445
7.982	0.01973794	0.09270777
7.984	0.10579105	0.31257401
7.986	0.0870651	0.16044869
7.988	0.00873478	0.07592586
7.99	0.07370908	0.22072158
7.992	0.06071186	0.17118969
7.994	0.00169283	0.06286932
7.996	0.04876022	0.13033968
7.998	0.00576845	0.06112115
8	0.18688671	0.12395396
8.002	0.30565402	0.14601922
8.004	0.06627892	0.09932773
8.006	0.00273464	0.09143246
8.008	0.02238849	0.11473767
8.01	0.01386293	0.13776008
8.012	0.08769688	0.0888691
8.014	1.00910873	0.07802683
8.016	0.15740432	0.06935211
8.018	-0.0014621	0.04655151
8.02	0.01077875	0.10072962
8.022	0.17777615	0.16371334
8.024	0.11753257	0.08410498
8.026	0.1357151	0.08573649
8.028	0.18700975	0.11676954
8.03	0.28617467	0.11805862
8.032	0.16078276	0.17333431
8.034	0.0206473	0.29965952
8.036	0.50919363	0.3224295
8.038	1.91717796	0.28856609
8.04	0.20222438	0.34127129
8.042	0.09932022	0.21719286
8.044	0.07068487	0.17690698
8.046	0.10466636	0.21578955
8.048	0.12555842	0.13171721
8.05	0.00522615	0.07275458
8.052	0.15412688	0.17219982
8.054	0.02408309	0.06202903
8.056	0.00460169	0.06013278
8.058	0.27171819	0.10529064
8.06	0.01312812	0.10454225
8.062	-0.001073	0.05117491
8.064	0.00978919	0.107341
8.066	0.00384727	0.08168918
8.068	0.02845845	0.07663835
8.07	0.09406247	0.16645573
8.072	0.0904242	0.11037082
8.074	0.07727614	0.07518661
8.076	0.03611734	0.04310944
8.078	0.08147523	0.07154864
8.08	9.55E-06	0.05292808
8.082	0.1988374	0.17114147
8.084	0.20761838	0.18994753
8.086	0.00897407	0.07493711
8.088	0.06122182	0.16484299
8.09	0.13546257	0.16829873
8.092	0.07862095	0.08192955
8.094	-0.0011876	0.02425995
8.096	-0.0012328	0.02187655
8.098	-0.0011768	0.02407034
8.1	-0.0012127	0.01899216
8.102	-0.0012297	0.0223817
8.104	-0.0012541	0.02070402
8.106	0.0258145	0.04825812
8.108	0.0460789	0.07638058
8.11	-0.001121	0.02583574
8.112	-0.0007595	0.03629712
8.114	-0.0012203	0.02121886
8.116	-0.0011582	0.02122873
8.118	-0.0012359	0.01858138
8.12	-0.0011819	0.01917933
8.122	-0.0011197	0.01771724
8.124	-0.001152	0.01697357
8.126	-0.0008124	0.02982118
8.128	0.06748661	0.11875995
8.13	0.03226021	0.15230029
8.132	0.00673758	0.05207703
8.134	0.05153133	0.17509292
8.136	0.02449409	0.06290625
8.138	0.08523459	0.0980616
8.14	0.00345222	0.03328907
8.142	-0.0009334	0.02723563
8.144	-0.0011479	0.02076615
8.146	-0.0011452	0.02200067
8.148	-0.0009872	0.02650166
8.15	-7.13E-05	0.0632488
8.152	-0.0006561	0.04855493
8.154	4.48E-05	0.04754652
8.156	0.02346817	0.13425837
8.158	0.05862529	0.13579494
8.16	0.17283443	0.43367336
8.162	1.21405692	0.1866265
8.164	0.85146613	0.15760441
8.166	0.01570637	0.15632673
8.168	-0.0002075	0.06844478
8.17	0.01039432	0.09073171
8.172	-0.0002989	0.04028632
8.174	0.00368187	0.05920206
8.176	0.00481663	0.05777254
8.178	0.01829208	0.07442602
8.18	0.01922317	0.08162804
8.182	-0.0003584	0.03409866
8.184	0.06129694	0.12909633
8.186	0.0073465	0.04887364
8.188	0.00950599	0.04737498
8.19	0.04220703	0.16805949
8.192	0.01208172	0.06753084
8.194	0.00737859	0.06704832
8.196	0.01640743	0.07645315
8.198	0.02730771	0.06011472
8.2	0.03112997	0.0718456
8.202	-0.0003014	0.054656
8.204	0.0143314	0.11749362
8.206	0.80457054	0.13606794
8.208	0.39163239	0.12882851
8.21	0.00184712	0.09157116
8.212	0.00304543	0.06370798
8.214	0.00186077	0.04226082
8.216	-0.00067	0.02152418
8.218	-1.30E-05	0.02480637
8.22	0.00108066	0.03870402
8.222	0.01395307	0.0863556
8.224	0.00290245	0.03691509
8.226	3.84E-05	0.04458829
8.228	7.45E-05	0.04418348
8.23	0.00604144	0.07232584
8.232	0.00407696	0.0519059
8.234	-0.0009425	0.02252388
8.236	-0.000928	0.02229106
8.238	-0.0008536	0.02590391
8.24	-0.0008454	0.03268249
8.242	-0.0005206	0.04546254
8.244	0.00070213	0.09522327
8.246	0.01803411	0.17584717
8.248	0.81742714	0.20904887
8.25	1.0603983	0.3227641
8.252	0.05302982	0.25516393
8.254	0.08018482	0.1827516
8.256	0.65672778	0.22184825
8.258	0.04018422	0.1373831
8.26	0.0052453	0.08946317
8.262	-0.0005502	0.03459198
8.264	0.0005159	0.05267308
8.266	-8.27E-05	0.03907409
8.268	-0.0006618	0.0234023
8.27	-0.0007064	0.02657982
8.272	0.00022783	0.03626214
8.274	0.0002091	0.03506528
8.276	-0.0007401	0.01745613
8.278	-5.77E-05	0.01976191
8.28	0.000443	0.02484407
8.282	-0.0005	0.01837193
8.284	-0.0005387	0.01771345
8.286	-0.0006427	0.01419197
8.288	0.00014592	0.02852909
8.29	0.00277641	0.05935676
8.292	0.01177695	0.08668124
8.294	-0.000542	0.02101697
8.296	-0.0007478	0.01602582
8.298	-0.0006974	0.01890771
8.3	-0.0006924	0.01691681
8.302	-0.0006949	0.01348165
8.304	-0.0005592	0.01473902
8.306	-0.0004735	0.02043546
8.308	-0.0005382	0.02512327
8.31	-0.0004481	0.02485147
8.312	-0.0005679	0.01927412
8.314	-0.0004475	0.02177274
8.316	0.00026112	0.02638772
8.318	-0.0003368	0.02006967
8.32	-0.0006241	0.01844329
8.322	0.00025565	0.02747985
8.324	-1.43E-05	0.02270639
8.326	0.00084285	0.03168268
8.328	-0.0007507	0.01664263
8.33	-0.0006771	0.0157284
8.332	-0.0004633	0.02329819
8.334	-0.0007319	0.01986379
8.336	-0.0006036	0.02708273
8.338	-0.0002996	0.03515189
8.34	-0.000459	0.04107536
8.342	0.00185148	0.07174961
8.344	0.12085342	0.20474559
8.346	1.05638877	0.23992569
8.348	0.12755772	0.17606108
8.35	0.00064934	0.0804904
8.352	-0.0004807	0.03909398
8.354	-0.0008056	0.02547603
8.356	-1.28E-05	0.03363615
8.358	-0.000578	0.02760446
8.36	-0.0005495	0.03508071
8.362	-1.72E-05	0.03202683
8.364	-0.0003446	0.02178981
8.366	-0.0006068	0.01935719
8.368	0.00071323	0.03160491
8.37	0.00012181	0.02297584
8.372	-0.000663	0.01309666
8.374	0.00049141	0.02760566
8.376	0.00032043	0.02491257
8.378	0.00627392	0.04909634
8.38	0.00339937	0.042313
8.382	0.0007916	0.03424348
8.384	-4.49E-05	0.03429729
8.386	0.00038445	0.02643702
8.388	0.00102577	0.04054668
8.39	-0.0004968	0.0234709
8.392	0.00150259	0.03675958
8.394	0.00190862	0.0824889
8.396	0.00078214	0.05984476
8.398	0.00020323	0.03359055
8.4	0.00231566	0.06170606
8.402	-0.0002445	0.02808483
8.404	-0.0004716	0.0214435
8.406	0.00306856	0.05358476
8.408	-0.0005088	0.02008457
8.41	-0.0006201	0.02490495
8.412	0.00479441	0.06029806
8.414	-0.000167	0.02928809
8.416	-0.0005047	0.03337566
8.418	0.00391911	0.07926133
8.42	0.00107255	0.08877502
8.422	0.07737132	0.20673693
8.424	1.3598167	0.17215086
8.426	0.42494497	0.24422048
8.428	0.00773674	0.13002784
8.43	0.0038916	0.08728675
8.432	0.00334337	0.06145375
8.434	-0.0004634	0.04264052
8.436	0.00335003	0.05877274
8.438	0.00380132	0.04954785
8.44	-0.0006077	0.02302561
8.442	0.00354968	0.04276743
8.444	0.00434889	0.06189445
8.446	-0.0002404	0.03031051
8.448	0.00270646	0.0376232
8.45	0.0057669	0.05317614
8.452	-0.0002964	0.02075654
8.454	0.00179331	0.03162639
8.456	0.0065171	0.0613651
8.458	-0.0002869	0.02061465
8.46	0.00097526	0.02878406
8.462	0.00835407	0.06732747
8.464	-0.000426	0.02439291
8.466	0.00021485	0.03032273
8.468	0.01435609	0.12647916
8.47	0.00444292	0.05416627
8.472	-0.0003011	0.02631359
8.474	0.0083233	0.0688636
8.476	0.00136912	0.02885026
8.478	-0.0002582	0.02224206
8.48	0.00633905	0.0646723
8.482	0.00190712	0.03644114
8.484	0.00181281	0.05260255
8.486	0.00558554	0.06213068
8.488	0.00294335	0.04204138
8.49	0.00030169	0.03073287
8.492	0.00491677	0.05527719
8.494	0.00351679	0.0494972
8.496	-1.00E-04	0.02768521
8.498	0.00448463	0.05875902
8.5	0.00408482	0.06934668
8.502	3.02E-05	0.03180841
8.504	0.00325095	0.05306248
8.506	0.00422017	0.07633981
8.508	-3.62E-05	0.05956926
8.51	0.00906628	0.12560145
8.512	0.21114435	0.31283617
8.514	1.69235574	0.24435555
8.516	0.26778608	0.28808952
8.518	0.01029268	0.21267954
8.52	0.06528468	0.25731668
8.522	0.00530972	0.09300121
8.524	0.00299785	0.08413928
8.526	-0.0002963	0.03153428
8.528	0.00087715	0.03128161
8.53	0.00284855	0.06206493
8.532	-0.0002036	0.02581942
8.534	-2.58E-05	0.02254863
8.536	0.00304787	0.06166572
8.538	-0.0002863	0.02415745
8.54	0.00059498	0.0219644
8.542	0.0015214	0.04604372
8.544	-5.37E-05	0.02625805
8.546	0.00133462	0.02784086
8.548	0.00061194	0.03599315
8.55	-0.0002339	0.02577037
8.552	0.00216556	0.03131809
8.554	0.00060619	0.02590059
8.556	-0.0002276	0.02218422
8.558	0.00061054	0.02033333
8.56	-0.0001125	0.01709444
8.562	0.00018838	0.0215493
8.564	0.0012961	0.02060364
8.566	-0.0004218	0.0189446
8.568	5.98E-05	0.02957714
8.57	0.00198491	0.02815695
8.572	0.00088434	0.02894949
8.574	0.00115432	0.04382393
8.576	0.03559994	0.13632005
8.578	0.02218008	0.13019322
8.58	0.11792589	0.19370148
8.582	0.12415646	0.30127405
8.584	0.09063957	0.19262087
8.586	0.00192393	0.06037922
8.588	0.00244254	0.03306113
8.59	0.00309616	0.04001849
8.592	0.00366506	0.0521658
8.594	0.00330575	0.03546511
8.596	0.00139097	0.02868991
8.598	0.00250273	0.04631823
8.6	0.00193711	0.02940925
8.602	0.00180865	0.03421287
8.604	0.00340292	0.05252354
8.606	0.00146868	0.02628347
8.608	0.00246643	0.03229686
8.61	0.00525776	0.05823457
8.612	0.00184611	0.022617
8.614	0.0008756	0.02592009
8.616	0.00728787	0.06611336
8.618	0.00318109	0.0268328
8.62	0.00095612	0.0265864
8.622	0.00694919	0.06900202
8.624	0.00166738	0.02446733
8.626	0.00075489	0.02411993
8.628	0.01103868	0.07325135
8.63	0.00237838	0.02817439
8.632	0.00039577	0.02015158
8.634	0.0116484	0.07463613
8.636	0.00237352	0.02503373
8.638	9.49E-05	0.01902254
8.64	0.01395221	0.06850081
8.642	0.00994898	0.03261426
8.644	0.00013205	0.01874143
8.646	0.00988643	0.06756902
8.648	0.00248618	0.03556022
8.65	-7.97E-05	0.02456891
8.652	0.00919304	0.07153406
8.654	0.00359303	0.03431273
8.656	-0.0005473	0.01831873
8.658	0.00810576	0.0653375
8.66	0.00510086	0.04344414
8.662	0.00133677	0.03075078
8.664	0.01218515	0.06149764
8.666	0.0055709	0.03595391
8.668	0.00046361	0.02178327
8.67	0.0112987	0.06239624
8.672	0.00557821	0.05196154
8.674	0.00021293	0.03346811
8.676	0.06557312	0.14948398
8.678	0.07284956	0.17688987
8.68	0.00141991	0.04326726
8.682	0.01597269	0.08462287
8.684	0.02984523	0.19590436
8.686	0.00482518	0.05138176
8.688	0.01082526	0.06150588
8.69	0.00585653	0.03545421
8.692	0.00246792	0.02705676
8.694	0.01356322	0.06482125
8.696	0.00525089	0.05933664
8.698	0.0628549	0.08683167
8.7	0.22734892	0.26784897
8.702	0.01321151	0.07377804
8.704	-0.0002089	0.02736965
