#MtLemmon 5.7mm N  9100ft STD			
#T=exp(-b*sqrt(AM)-c*AM) @1AM
#Wave  b (sqrt crv gr)  c (lin crv gr)
8.5	0.10446727	0.07150533
8.504	0.18379777	0.0694794
8.508	0.26317929	0.07608043
8.512	0.34260826	0.079328
8.516	0.35588925	0.08398352
8.52	0.29875444	0.08590965
8.524	0.22146779	0.0741078
8.528	0.14196625	0.06564445
8.532	0.06230785	0.06797125
8.536	0.0151776	0.0675111
8.54	0.00196776	0.05942258
8.544	0.00106707	0.05403045
8.548	0.00098918	0.0506437
8.552	0.00087634	0.04764749
8.556	0.00058312	0.04526079
8.56	0.00576353	0.04705464
8.564	0.02728332	0.05083677
8.568	0.06246441	0.05834267
8.572	0.09655512	0.07057108
8.576	0.12895888	0.08745359
8.58	0.15214247	0.0962405
8.584	0.14613335	0.09360249
8.588	0.11413943	0.08284754
8.592	0.08104645	0.07264545
8.596	0.0467663	0.06336084
8.6	0.0167124	0.06004072
8.604	0.00276285	0.05826073
8.608	0.00284694	0.05635969
8.612	0.00319459	0.05559321
8.616	0.00371553	0.05604437
8.62	0.00412247	0.05572105
8.624	0.004759	0.05578471
8.628	0.00542815	0.05619273
8.632	0.00582443	0.05572074
8.636	0.00625705	0.05570794
8.64	0.00660806	0.05614237
8.644	0.00647219	0.05649661
8.648	0.00645929	0.05760625
8.652	0.00651504	0.05908706
8.656	0.00634823	0.0606176
8.66	0.01447806	0.06376218
8.664	0.02626086	0.06829292
8.668	0.04254333	0.07583189
8.672	0.05839133	0.08618596
8.676	0.07375043	0.09610088
8.68	0.07514017	0.10267007
8.684	0.08582121	0.10518538
8.688	0.08840412	0.09897753
8.692	0.09091138	0.08989678
8.696	0.09318134	0.08201572
8.7	0.10015125	0.07210694
8.704	0.07758925	0.06507686
8.708	0.05905295	0.06079097
8.712	0.04037874	0.05728712
8.716	0.02136374	0.05422646
8.72	0.00419735	0.05363447
8.724	0.00355215	0.05080988
8.728	0.00331799	0.04931246
8.732	0.00326613	0.04885218
8.736	0.00323607	0.04817838
8.74	0.00308042	0.04738127
8.744	0.00302704	0.04787884
8.748	0.00291124	0.04734386
8.752	0.0027775	0.04649832
8.756	0.00280846	0.04650351
8.76	0.00284461	0.04625185
8.764	0.00290837	0.04499289
8.768	0.00312515	0.04524637
8.772	0.00504648	0.04703045
8.776	0.02338743	0.04834291
8.78	0.04257117	0.05388883
8.784	0.06231361	0.06457515
8.788	0.11592368	0.06971654
8.792	0.1789297	0.07782067
8.796	0.20991207	0.08327209
8.8	0.24151952	0.08069812
8.804	0.27422355	0.06669277
8.808	0.23447524	0.05847314
8.812	0.16878944	0.050404
8.816	0.11891454	0.04612029
8.82	0.06938102	0.04627498
8.824	0.02135553	0.05102837
8.828	0.00843916	0.04854282
8.832	0.00867628	0.04600689
8.836	0.00895043	0.04531194
8.84	0.00934331	0.0453615
8.844	0.00970917	0.04493402
8.848	0.00995505	0.04361512
8.852	0.01037662	0.04198036
8.856	0.01116746	0.04046734
8.86	0.01136124	0.03823723
8.864	0.01188929	0.03717936
8.868	0.01279435	0.03697402
8.872	0.01328656	0.03739969
8.876	0.01308957	0.03778227
8.88	0.01429637	0.03992949
8.884	0.01474441	0.04166417
8.888	0.01400731	0.04274636
8.892	0.01434678	0.04364682
8.896	0.01491572	0.04420108
8.9	0.01996019	0.04367864
8.904	0.04081045	0.04377992
8.908	0.0646063	0.04780727
8.912	0.08633722	0.05201947
8.916	0.10805241	0.05729097
8.92	0.11872073	0.06205169
8.924	0.09950271	0.06096428
8.928	0.07656569	0.05463511
8.932	0.05415226	0.0508654
8.936	0.03153507	0.04838244
8.94	0.01390189	0.04573599
8.944	0.01173436	0.04344776
8.948	0.01125429	0.04244945
8.952	0.01120947	0.04058535
8.956	0.01010816	0.03816971
8.96	0.0092792	0.03634724
8.964	0.00878303	0.0352275
8.968	0.00859007	0.0347224
8.972	0.00750476	0.03438151
8.976	0.00712844	0.03514072
8.98	0.02033985	0.03566365
8.984	0.0365929	0.03764668
8.988	0.05232759	0.04063139
8.992	0.06830662	0.04449959
8.996	0.08425537	0.04684422
9	0.07365844	0.04728697
9.004	0.0568192	0.04415967
9.008	0.04012449	0.04027391
9.012	0.02321679	0.03722144
9.016	0.0086157	0.03709494
9.02	0.02324619	0.03581879
9.024	0.04141345	0.03731478
9.028	0.05956955	0.04006277
9.032	0.07759518	0.04274232
9.036	0.09111003	0.0420693
9.04	0.07338024	0.0415737
9.044	0.05535538	0.0388537
9.048	0.03721392	0.0365994
9.052	0.01888644	0.03470156
9.056	0.00306107	0.03550512
9.06	0.00565668	0.0363113
9.064	0.01554327	0.0404094
9.068	0.02505807	0.04545346
9.072	0.03454206	0.05214291
9.076	0.04684552	0.06061045
9.08	0.05577095	0.06766445
9.084	0.05162578	0.06865199
9.088	0.04777241	0.06851571
9.092	0.04387504	0.0670091
9.096	0.03378159	0.06007411
9.1	0.02196005	0.05158708
9.104	0.01675038	0.04558939
9.108	0.01119991	0.03999825
9.112	0.00555838	0.03513217
9.116	0.00351382	0.03324337
9.12	0.00370376	0.03386292
9.124	0.00384187	0.03507143
9.128	0.00409433	0.03687387
9.132	0.00429546	0.03900438
9.136	0.00426113	0.04042756
9.14	0.00417084	0.04085479
9.144	0.00421599	0.04125906
9.148	0.0108838	0.04365329
9.152	0.0179074	0.04671184
9.156	0.02490103	0.05038877
9.16	0.03169275	0.05496129
9.164	0.03821648	0.05896973
9.168	0.03199369	0.05741045
9.172	0.02503581	0.05442911
9.176	0.01822802	0.05245182
9.18	0.01145456	0.05074971
9.184	0.00476018	0.05016423
9.188	0.00475606	0.05132392
9.192	0.00508672	0.05358014
9.196	0.00510867	0.05550059
9.2	0.00496375	0.05663702
9.204	0.00488848	0.05749993
9.208	0.00468309	0.05867433
9.212	0.00459837	0.05930357
9.216	0.00458445	0.05805268
9.22	0.00467112	0.05683052
9.224	0.00481971	0.05538659
9.228	0.00508607	0.0542632
9.232	0.00611226	0.05514422
9.236	0.00748487	0.05794617
9.24	0.00880099	0.06127194
9.244	0.01019081	0.06495673
9.248	0.01149987	0.06809451
9.252	0.01129086	0.06655935
9.256	0.01097566	0.06471337
9.26	0.01062816	0.06249216
9.264	0.00975867	0.05907448
9.268	0.00916999	0.05728468
9.272	0.00929762	0.05771087
9.276	0.00918117	0.05817147
9.28	0.00949774	0.06019853
9.284	0.01004057	0.06278072
9.288	0.012017	0.06657726
9.292	0.01997015	0.07423539
9.296	0.02719764	0.0801794
9.3	0.03407147	0.0855898
9.304	0.04064599	0.09203325
9.308	0.04416189	0.09179467
9.312	0.03690556	0.0846601
9.316	0.02994787	0.08062767
9.32	0.02237642	0.07447583
9.324	0.01481814	0.06924947
9.328	0.00970648	0.06768079
9.332	0.01014675	0.06695694
9.336	0.01126622	0.06619265
9.34	0.01439236	0.07097604
9.344	0.01800595	0.07552244
9.348	0.02230019	0.08045934
9.352	0.02869084	0.08959923
9.356	0.03681976	0.09926772
9.36	0.04891471	0.10439564
9.364	0.07925763	0.10855297
9.368	0.1145824	0.11488997
9.372	0.15160594	0.11945558
9.376	0.19223715	0.12652945
9.38	0.23195004	0.13447791
9.384	0.24462342	0.13964828
9.388	0.26292776	0.14049778
9.392	0.28418031	0.14056263
9.396	0.31644781	0.13527456
9.4	0.34886171	0.13359744
9.404	0.402362	0.13680903
9.408	0.45044138	0.14425033
9.412	0.50128761	0.15901616
9.416	0.53903765	0.17944886
9.42	0.57907856	0.20423851
9.424	0.61097603	0.22468676
9.428	0.6381081	0.24197436
9.432	0.67607604	0.24653036
9.436	0.70726861	0.23551402
9.44	0.74218232	0.20835103
9.444	0.78163913	0.1855213
9.448	0.8180701	0.16298335
9.452	0.84571	0.14376003
9.456	0.87887102	0.14752699
9.46	0.89908184	0.16889597
9.464	0.91052497	0.18846664
9.468	0.92737596	0.21486153
9.472	0.92587973	0.23756639
9.476	0.94655658	0.23501638
9.48	0.97257158	0.22827705
9.484	0.98547373	0.22480952
9.488	1.01096772	0.22291313
9.492	1.04057868	0.21736069
9.496	1.02832431	0.22151329
9.5	1.0288833	0.2137389
9.504	1.04019302	0.21760157
9.508	1.00822186	0.20758871
9.512	0.97913483	0.2116321
9.516	0.98154812	0.20954543
9.52	0.94447681	0.20857165
9.524	0.89856818	0.19319028
9.528	0.88672293	0.18982045
9.532	0.86030522	0.1821584
9.536	0.8094243	0.1764461
9.54	0.78258445	0.1695441
9.544	0.74856329	0.16785977
9.548	0.67875377	0.15256495
9.552	0.60645256	0.14152101
9.556	0.53628187	0.13573508
9.56	0.45370344	0.12940846
9.564	0.36388991	0.12128895
9.568	0.29663507	0.1161409
9.572	0.2333758	0.11267399
9.576	0.17287491	0.10854159
9.58	0.13166775	0.10811375
9.584	0.14373929	0.10222419
9.588	0.20094466	0.08984913
